Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-01-18,153.28125,153.3125,151.40625,151.4375,1.28125,152.03125,223393.0,615219.0
2017-01-19,151.375,151.84375,150.28125,150.75,0.96875,151.0625,310818.0,618563.0
2017-01-20,150.78125,151.15625,149.9375,150.65625,0.28125,150.78125,261546.0,627417.0
2017-01-23,150.78125,152.46875,150.5625,152.0625,1.21875,152.0,266652.0,619942.0
2017-01-24,152.0625,152.25,150.5,150.75,1.40625,150.59375,201832.0,616992.0
2017-01-25,150.84375,151.0625,149.25,149.625,1.125,149.46875,246039.0,613519.0
2017-01-26,149.6875,149.9375,148.9375,149.90625,0.3125,149.78125,192428.0,615850.0
2017-01-27,149.90625,150.4375,149.5,150.4375,0.59375,150.375,189238.0,615872.0
2017-01-30,150.46875,150.625,149.875,150.125,0.125,150.25,234427.0,611313.0
2017-01-31,150.15625,151.1875,149.75,150.65625,0.59375,150.84375,328036.0,614032.0
2017-02-01,150.6875,150.71875,149.71875,150.5625,0.40625,150.4375,269776.0,612420.0
2017-02-02,150.53125,151.46875,150.34375,150.46875,0.125,150.5625,264480.0,614036.0
2017-02-03,150.5,151.28125,149.84375,150.46875,0.53125,150.03125,310725.0,608886.0
2017-02-06,150.40625,151.6875,150.3125,151.59375,1.5,151.53125,246926.0,616563.0
2017-02-07,151.53125,152.53125,150.8125,152.15625,0.65625,152.1875,262198.0,614157.0
2017-02-08,152.15625,153.65625,152.0625,153.46875,1.09375,153.28125,322460.0,618773.0
2017-02-09,153.5,153.53125,151.96875,152.21875,1.09375,152.1875,295230.0,622929.0
2017-02-10,152.28125,152.375,151.25,152.0,0.28125,151.90625,276466.0,629826.0
2017-02-13,151.84375,151.875,151.0,151.3125,0.53125,151.375,153399.0,628054.0
2017-02-14,151.3125,151.53125,149.90625,150.71875,0.75,150.625,270600.0,628110.0
2017-02-15,150.75,150.78125,149.5,150.15625,0.6875,149.9375,270893.0,624904.0
2017-02-16,150.09375,151.1875,149.96875,150.84375,0.875,150.8125,267569.0,629206.0
2017-02-17,150.78125,151.96875,150.5625,151.53125,0.4375,151.25,183471.0,616055.0
2017-02-21,151.4375,151.71875,150.59375,151.21875,0.0625,151.3125,288249.0,609874.0
2017-02-22,151.21875,152.1875,150.75,151.40625,0.0625,151.375,505135.0,582748.0
2017-02-23,151.40625,152.0625,151.25,152.03125,0.4375,151.8125,474384.0,489192.0
2017-02-24,152.03125,153.375,151.875,153.28125,1.40625,153.21875,490768.0,329769.0
2017-02-27,153.28125,153.28125,152.53125,152.71875,0.59375,152.625,322479.0,155295.0
2017-02-28,152.71875,153.34375,152.25,152.28125,0.3125,152.9375,74649.0,51967.0
2017-03-01,152.28125,152.34375,150.5,150.84375,2.25,150.6875,27948.0,20808.0
2017-03-02,150.9375,150.9375,150.0,150.5,0.34375,150.34375,8517.0,15457.0
2017-03-03,150.5,150.78125,149.96875,150.75,0.15625,150.5,4497.0,12481.0
2017-03-06,150.46875,151.15625,150.09375,150.1875,0.1875,150.3125,4306.0,10243.0
2017-03-07,150.21875,150.46875,149.90625,149.90625,0.21875,150.09375,1972.0,7615.0
2017-03-08,149.96875,150.15625,148.5625,149.09375,0.9375,149.15625,2227.0,6830.0
2017-03-09,149.125,149.15625,147.84375,147.90625,1.09375,148.0625,1072.0,4183.0
2017-03-10,147.84375,148.28125,147.6875,148.1875,,148.0625,1194.0,3738.0
2017-03-13,148.3125,148.53125,147.21875,147.21875,0.4375,147.625,1762.0,3146.0
2017-03-14,147.5,148.3125,147.09375,148.0,0.5,148.125,1586.0,2340.0
2017-03-15,148.0625,149.8125,148.0625,149.71875,1.5,149.625,532.0,1656.0
2017-03-16,149.78125,149.90625,148.90625,148.9375,0.375,149.25,696.0,1328.0
2017-03-17,148.9375,149.875,148.84375,149.84375,0.5,149.75,757.0,858.0
2017-03-20,150.25,150.59375,149.5625,150.59375,0.59375,150.34375,109.0,610.0
2017-03-21,150.125,151.59375,149.9375,151.59375,0.9375,151.28125,201.0,547.0
2017-03-22,151.71875,152.4375,151.59375,152.03125,0.6875,151.96875,94.0,424.0
