Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-02-06,0.0,0.0,0.0,,,85.09,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,85.36,0.0,0.0
2013-02-08,0.0,0.0,0.0,,,85.83,0.0,0.0
2013-02-11,0.0,0.0,0.0,,,86.19,0.0,0.0
2013-02-12,0.0,0.0,0.0,,,85.37,0.0,0.0
2013-02-13,0.0,0.0,0.0,,,85.59,0.0,0.0
2013-02-14,0.0,0.0,0.0,,,85.61,0.0,0.0
2013-02-15,0.0,0.0,0.0,,,85.0,0.0,0.0
2013-02-19,0.0,0.0,0.0,,,84.34,0.0,0.0
2013-02-20,0.0,0.0,0.0,,,84.11,0.0,0.0
2013-02-21,0.0,0.0,0.0,,,83.34,0.0,0.0
2013-02-22,0.0,0.0,0.0,,,83.63,0.0,0.0
2013-02-25,0.0,0.0,0.0,,,83.72,0.0,0.0
2013-02-26,0.0,0.0,0.0,,,83.78,0.0,0.0
2013-02-27,0.0,0.0,0.0,,,83.42,0.0,0.0
2013-02-28,0.0,0.0,0.0,,,83.09,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,83.71,0.0,0.0
2013-03-04,0.0,0.0,0.0,,,83.61,0.0,0.0
2013-03-05,0.0,0.0,0.0,,,84.16,0.0,0.0
2013-03-06,0.0,0.0,0.0,,,83.64,0.0,0.0
2013-03-07,0.0,0.0,0.0,,,83.47,0.0,0.0
2013-03-08,0.0,0.0,0.0,,,83.53,0.0,0.0
2013-03-11,0.0,0.0,0.0,,,83.41,0.0,0.0
2013-03-12,0.0,0.0,0.0,,,84.14,0.0,0.0
2013-03-13,0.0,0.0,0.0,,,83.95,0.0,0.0
2013-03-14,0.0,0.0,0.0,,,84.12,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,84.58,0.0,0.0
2013-03-18,0.0,0.0,0.0,,,85.12,0.0,0.0
2013-03-19,0.0,0.0,0.0,,,84.29,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,83.87,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,83.67,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,83.44,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,83.48,0.0,0.0
2013-03-26,0.0,0.0,0.0,,,83.92,0.0,0.0
2013-03-27,0.0,0.0,0.0,,,84.13,0.0,0.0
2013-03-28,0.0,0.0,0.0,,,84.26,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,84.12,0.0,0.0
2013-04-02,0.0,0.0,0.0,,,83.85,0.0,0.0
2013-04-03,0.0,0.0,0.0,,,83.74,0.0,0.0
2013-04-04,0.0,0.0,0.0,,,84.19,0.0,0.0
2013-04-05,0.0,0.0,0.0,,,84.69,0.0,0.0
2013-04-08,0.0,0.0,0.0,,,84.6,0.0,0.0
2013-04-09,0.0,0.0,0.0,,,84.66,0.0,0.0
2013-04-10,0.0,0.0,0.0,,,84.72,0.0,0.0
2013-04-11,0.0,0.0,0.0,,,85.07,0.0,0.0
2013-04-12,0.0,0.0,0.0,,,84.7,0.0,0.0
2013-04-15,0.0,0.0,0.0,,,83.13,0.0,0.0
2013-04-16,0.0,0.0,0.0,,,82.92,0.0,0.0
2013-04-17,0.0,0.0,0.0,,,81.33,0.0,0.0
2013-04-18,0.0,0.0,0.0,,,80.82,0.0,0.0
2013-04-19,0.0,0.0,0.0,,,81.38,0.0,0.0
2013-04-22,0.0,0.0,0.0,,,82.39,0.0,0.0
2013-04-23,0.0,0.0,0.0,,,82.72,0.0,0.0
2013-04-24,0.0,0.0,0.0,,,83.27,0.0,0.0
2013-04-25,0.0,0.0,0.0,,,84.29,0.0,0.0
2013-04-26,0.0,0.0,0.0,,,83.64,0.0,0.0
2013-04-29,0.0,0.0,0.0,,,83.56,0.0,0.0
2013-04-30,0.0,0.0,0.0,,,83.57,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,82.32,0.0,0.0
2013-05-02,0.0,0.0,0.0,,,83.85,0.0,0.0
2013-05-03,0.0,0.0,0.0,,,83.71,0.0,0.0
2013-05-06,0.0,0.0,0.0,,,83.85,0.0,0.0
2013-05-07,0.0,0.0,0.0,,,83.92,0.0,0.0
2013-05-08,0.0,0.0,0.0,,,84.01,0.0,0.0
2013-05-09,0.0,0.0,0.0,,,83.48,0.0,0.0
2013-05-10,0.0,0.0,0.0,,,83.55,0.0,0.0
2013-05-13,0.0,0.0,0.0,,,83.38,0.0,0.0
2013-05-14,0.0,0.0,0.0,,,83.12,0.0,0.0
2013-05-15,0.0,0.0,0.0,,,83.53,0.0,0.0
2013-05-16,0.0,0.0,0.0,,,83.67,0.0,0.0
2013-05-17,0.0,0.0,0.0,,,83.61,0.0,0.0
2013-05-20,0.0,0.0,0.0,,,83.64,0.0,0.0
2013-05-21,0.0,0.0,0.0,,,83.75,0.0,0.0
2013-05-22,0.0,0.0,0.0,,,83.6,0.0,0.0
2013-05-23,0.0,0.0,0.0,,,83.12,0.0,0.0
2013-05-24,0.0,0.0,0.0,,,82.94,0.0,0.0
2013-05-28,0.0,0.0,0.0,,,82.82,0.0,0.0
2013-05-29,0.0,0.0,0.0,,,82.03,0.0,0.0
2013-05-30,0.0,0.0,0.0,,,82.22,0.0,0.0
2013-05-31,0.0,0.0,0.0,,,82.07,0.0,0.0
2013-06-03,0.0,0.0,0.0,,,82.95,0.0,0.0
2013-06-04,0.0,0.0,0.0,,,82.49,0.0,0.0
2013-06-05,0.0,0.0,0.0,,,82.52,0.0,0.0
2013-06-06,0.0,0.0,0.0,,,82.97,0.0,0.0
2013-06-07,0.0,0.0,0.0,,,82.64,0.0,0.0
2013-06-10,0.0,0.0,0.0,,,83.01,0.0,0.0
2013-06-11,0.0,0.0,0.0,,,82.65,0.0,0.0
2013-06-12,0.0,0.0,0.0,,,82.93,0.0,0.0
2013-06-13,0.0,0.0,0.0,,,82.72,0.0,0.0
2013-06-14,0.0,0.0,0.0,,,82.46,0.0,0.0
2013-06-17,0.0,0.0,0.0,,,82.51,0.0,0.0
2013-06-18,0.0,0.0,0.0,,,82.22,0.0,0.0
2013-06-19,0.0,0.0,0.0,,,81.82,0.0,0.0
2013-06-20,0.0,0.0,0.0,,,79.89,0.0,0.0
2013-06-21,0.0,0.0,0.0,,,78.94,0.0,0.0
2013-06-24,0.0,0.0,0.0,,,79.81,0.0,0.0
2013-06-25,0.0,0.0,0.0,,,80.55,0.0,0.0
2013-06-26,0.0,0.0,0.0,,,80.59,0.0,0.0
2013-06-27,0.0,0.0,0.0,,,80.4,0.0,0.0
2013-06-28,0.0,0.0,0.0,,,79.76,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,79.16,0.0,0.0
2013-07-02,0.0,0.0,0.0,,,79.64,0.0,0.0
2013-07-03,0.0,0.0,0.0,,,79.94,0.0,0.0
2013-07-05,0.0,0.0,0.0,,,79.52,0.0,0.0
2013-07-08,0.0,0.0,0.0,,,79.98,0.0,0.0
2013-07-09,0.0,0.0,0.0,,,80.32,0.0,0.0
2013-07-10,0.0,0.0,0.0,,,81.36,0.0,0.0
2013-07-11,0.0,0.0,0.0,,,81.92,0.0,0.0
2013-07-12,0.0,0.0,0.0,,,81.72,0.0,0.0
2013-07-15,0.0,0.0,0.0,,,81.21,0.0,0.0
2013-07-16,0.0,0.0,0.0,,,80.79,0.0,0.0
2013-07-17,0.0,0.0,0.0,,,80.65,0.0,0.0
2013-07-18,0.0,0.0,0.0,,,80.4,0.0,0.0
2013-07-19,0.0,0.0,0.0,,,80.47,0.0,0.0
2013-07-22,0.0,0.0,0.0,,,80.57,0.0,0.0
2013-07-23,0.0,0.0,0.0,,,80.73,0.0,0.0
2013-07-24,0.0,0.0,0.0,,,80.66,0.0,0.0
2013-07-25,0.0,0.0,0.0,,,81.3,0.0,0.0
2013-07-26,0.0,0.0,0.0,,,82.16,0.0,0.0
2013-07-29,0.0,0.0,0.0,,,82.02,0.0,0.0
2013-07-30,0.0,0.0,0.0,,,81.94,0.0,0.0
2013-07-31,0.0,0.0,0.0,,,81.84,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,81.53,0.0,0.0
2013-08-02,0.0,0.0,0.0,,,81.67,0.0,0.0
2013-08-05,0.0,0.0,0.0,,,82.16,0.0,0.0
2013-08-06,0.0,0.0,0.0,,,81.95,0.0,0.0
2013-08-07,0.0,0.0,0.0,,,82.25,0.0,0.0
2013-08-08,0.0,0.0,0.0,,,82.36,0.0,0.0
2013-08-09,0.0,0.0,0.0,,,82.42,0.0,0.0
2013-08-12,0.0,0.0,0.0,,,82.34,0.0,0.0
2013-08-13,0.0,0.0,0.0,,,82.36,0.0,0.0
2013-08-14,0.0,0.0,0.0,,,82.6,0.0,0.0
2013-08-15,0.0,0.0,0.0,,,82.22,0.0,0.0
2013-08-16,0.0,0.0,0.0,,,81.98,0.0,0.0
2013-08-19,0.0,0.0,0.0,,,81.79,0.0,0.0
2013-08-20,0.0,0.0,0.0,,,82.21,0.0,0.0
2013-08-21,0.0,0.0,0.0,,,82.01,0.0,0.0
2013-08-22,0.0,0.0,0.0,,,81.86,0.0,0.0
2013-08-23,0.0,0.0,0.0,,,81.69,0.0,0.0
2013-08-26,0.0,0.0,0.0,,,81.68,0.0,0.0
2013-08-27,0.0,0.0,0.0,,,81.91,0.0,0.0
2013-08-28,0.0,0.0,0.0,,,81.26,0.0,0.0
2013-08-29,0.0,0.0,0.0,,,80.88,0.0,0.0
2013-08-30,0.0,0.0,0.0,,,81.63,0.0,0.0
2013-09-03,0.0,0.0,0.0,,,81.6,0.0,0.0
2013-09-04,0.0,0.0,0.0,,,81.74,0.0,0.0
2013-09-05,0.0,0.0,0.0,,,81.75,0.0,0.0
2013-09-06,0.0,0.0,0.0,,,81.4,0.0,0.0
2013-09-09,0.0,0.0,0.0,,,80.91,0.0,0.0
2013-09-10,0.0,0.0,0.0,,,81.09,0.0,0.0
2013-09-11,0.0,0.0,0.0,,,81.13,0.0,0.0
2013-09-12,0.0,0.0,0.0,,,81.33,0.0,0.0
2013-09-13,0.0,0.0,0.0,,,81.5,0.0,0.0
2013-09-16,0.0,0.0,0.0,,,81.53,0.0,0.0
2013-09-17,0.0,0.0,0.0,,,81.42,0.0,0.0
2013-09-18,0.0,0.0,0.0,,,81.39,0.0,0.0
2013-09-19,0.0,0.0,0.0,,,81.81,0.0,0.0
2013-09-20,0.0,0.0,0.0,,,81.89,0.0,0.0
2013-09-23,0.0,0.0,0.0,,,81.93,0.0,0.0
2013-09-24,0.0,0.0,0.0,,,82.06,0.0,0.0
2013-09-25,0.0,0.0,0.0,,,81.78,0.0,0.0
2013-09-26,0.0,0.0,0.0,,,82.18,0.0,0.0
2013-09-27,0.0,0.0,0.0,,,81.67,0.0,0.0
2013-09-30,0.0,0.0,0.0,,,81.94,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,82.09,0.0,0.0
2013-10-02,0.0,0.0,0.0,,,82.06,0.0,0.0
2013-10-03,0.0,0.0,0.0,,,81.51,0.0,0.0
2013-10-04,0.0,0.0,0.0,,,81.92,0.0,0.0
2013-10-07,0.0,0.0,0.0,,,82.19,0.0,0.0
2013-10-08,0.0,0.0,0.0,,,81.52,0.0,0.0
2013-10-09,0.0,0.0,0.0,,,81.61,0.0,0.0
2013-10-10,0.0,0.0,0.0,,,81.69,0.0,0.0
2013-10-11,0.0,0.0,0.0,,,81.92,0.0,0.0
2013-10-14,0.0,0.0,0.0,,,81.77,0.0,0.0
2013-10-15,0.0,0.0,0.0,,,81.83,0.0,0.0
2013-10-16,0.0,0.0,0.0,,,81.33,0.0,0.0
2013-10-17,0.0,0.0,0.0,,,81.02,0.0,0.0
2013-10-18,0.0,0.0,0.0,,,81.77,0.0,0.0
2013-10-21,0.0,0.0,0.0,,,82.14,0.0,0.0
2013-10-22,0.0,0.0,0.0,,,81.43,0.0,0.0
2013-10-23,0.0,0.0,0.0,,,80.6,0.0,0.0
2013-10-24,0.0,0.0,0.0,,,80.53,0.0,0.0
2013-10-25,0.0,0.0,0.0,,,80.66,0.0,0.0
2013-10-28,0.0,0.0,0.0,,,80.77,0.0,0.0
2013-10-29,0.0,0.0,0.0,,,80.91,0.0,0.0
2013-10-30,0.0,0.0,0.0,,,81.67,0.0,0.0
2013-10-31,0.0,0.0,0.0,,,81.67,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,81.46,0.0,0.0
2013-11-04,0.0,0.0,0.0,,,81.4,0.0,0.0
2013-11-05,0.0,0.0,0.0,,,81.39,0.0,0.0
2013-11-06,0.0,0.0,0.0,,,81.04,0.0,0.0
2013-11-07,0.0,0.0,0.0,,,81.36,0.0,0.0
2013-11-08,0.0,0.0,0.0,,,80.96,0.0,0.0
2013-11-11,0.0,0.0,0.0,,,81.1,0.0,0.0
2013-11-12,0.0,0.0,0.0,,,81.07,0.0,0.0
2013-11-13,0.0,0.0,0.0,,,81.21,0.0,0.0
2013-11-14,0.0,0.0,0.0,,,81.14,0.0,0.0
2013-11-15,0.0,0.0,0.0,,,81.2,0.0,0.0
2013-11-18,0.0,0.0,0.0,,,80.91,0.0,0.0
2013-11-19,0.0,0.0,0.0,,,80.61,0.0,0.0
2013-11-20,0.0,0.0,0.0,,,80.79,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,80.35,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,80.39,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,80.77,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.93,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,80.79,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,81.12,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,81.25,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,81.08,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.92,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,80.38,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,80.59,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,80.7,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,80.54,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.85,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,80.59,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,79.58,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.91,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,80.01,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,79.35,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.95,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,78.69,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,78.72,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,78.65,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.84,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.98,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.93,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,78.74,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.84,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,77.54,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,77.61,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,76.66,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,76.13,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,76.42,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,76.43,0.0,0.0
2014-01-13,0.0,0.0,0.0,,,76.35,0.0,0.0
2014-01-14,0.0,0.0,0.0,,,77.17,0.0,0.0
2014-01-15,0.0,0.0,0.0,,,77.55,0.0,0.0
2014-01-16,0.0,0.0,0.0,,,76.64,0.0,0.0
2014-01-17,0.0,0.0,0.0,,,76.62,0.0,0.0
2014-01-21,0.0,0.0,0.0,,,76.54,0.0,0.0
2014-01-22,0.0,0.0,0.0,,,76.49,0.0,0.0
2014-01-23,0.0,0.0,0.0,,,76.27,0.0,0.0
2014-01-24,0.0,0.0,0.0,,,76.7,0.0,0.0
2014-01-27,0.0,0.0,0.0,,,76.6,0.0,0.0
2014-01-28,0.0,0.0,0.0,,,76.85,0.0,0.0
2014-01-29,0.0,0.0,0.0,,,76.48,0.0,0.0
2014-01-30,0.0,0.0,0.0,,,76.34,0.0,0.0
2014-01-31,0.0,0.0,0.0,,,75.83,0.0,0.0
2014-02-03,0.0,0.0,0.0,,,76.19,0.0,0.0
2014-02-04,0.0,0.0,0.0,,,76.87,0.0,0.0
2014-02-05,0.0,0.0,0.0,,,78.05,0.0,0.0
2014-02-06,0.0,0.0,0.0,,,78.2,0.0,0.0
2014-02-07,0.0,0.0,0.0,,,78.61,0.0,0.0
2014-02-10,0.0,0.0,0.0,,,78.31,0.0,0.0
2014-02-11,0.0,0.0,0.0,,,78.86,0.0,0.0
2014-02-12,0.0,0.0,0.0,,,79.06,0.0,0.0
2014-02-13,0.0,0.0,0.0,,,79.23,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,79.27,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.65,78.62,0.0,0.0
2014-02-19,0.0,0.0,0.0,,,78.39,,
2014-02-20,0.0,0.0,0.0,,0.34,78.73,0.0,0.0
2014-02-21,0.0,0.0,0.0,,0.17,78.9,0.0,0.0
2014-02-24,0.0,0.0,0.0,,22.0,79.12,0.0,0.0
2014-02-25,0.0,0.0,0.0,,0.31,78.81,0.0,0.0
2014-02-26,0.0,0.0,0.0,,0.12,78.93,0.0,0.0
2014-02-27,0.0,0.0,0.0,,0.32,79.25,0.0,0.0
2014-02-28,0.0,0.0,0.0,,0.26,79.51,0.0,0.0
2014-03-03,0.0,0.0,0.0,,0.01,79.5,0.0,0.0
2014-03-04,0.0,0.0,0.0,,0.12,79.38,0.0,0.0
2014-03-05,0.0,0.0,0.0,,,79.96,,
2014-03-06,0.0,0.0,0.0,,0.5,80.46,0.0,0.0
2014-03-07,0.0,0.0,0.0,,0.07,80.53,0.0,0.0
2014-03-10,0.0,0.0,0.0,,0.3,80.23,0.0,0.0
2014-03-11,0.0,0.0,0.0,,0.37,80.6,0.0,0.0
2014-03-12,0.0,0.0,0.0,,0.09,80.51,0.0,0.0
2014-03-13,0.0,0.0,0.0,,0.39,80.9,0.0,0.0
2014-03-14,0.0,0.0,0.0,,0.11,81.01,0.0,0.0
2014-03-17,0.0,0.0,0.0,,0.47,80.54,0.0,0.0
2014-03-18,0.0,0.0,0.0,,0.09,80.45,0.0,0.0
2014-03-19,0.0,0.0,0.0,,0.17,80.28,0.0,0.0
2014-03-20,0.0,0.0,0.0,,0.21,80.49,0.0,0.0
2014-03-21,0.0,0.0,0.0,,0.11,80.6,0.0,0.0
2014-03-24,0.0,0.0,0.0,,0.05,80.55,0.0,0.0
2014-03-25,0.0,0.0,0.0,,0.29,80.26,0.0,0.0
2014-03-26,0.0,0.0,0.0,,0.04,80.22,0.0,0.0
2014-03-27,0.0,0.0,0.0,,0.14,80.08,0.0,0.0
2014-03-28,0.0,0.0,0.0,,0.68,79.4,0.0,0.0
2014-03-31,0.0,0.0,0.0,,0.38,79.78,0.0,0.0
2014-04-01,0.0,0.0,0.0,,0.31,80.09,0.0,0.0
2014-04-02,0.0,0.0,0.0,,0.91,81.0,0.0,0.0
2014-04-03,0.0,0.0,0.0,,0.39,81.39,0.0,0.0
2014-04-04,0.0,0.0,0.0,,0.12,81.27,0.0,0.0
2014-04-07,0.0,0.0,0.0,,0.12,81.39,0.0,0.0
2014-04-08,0.0,0.0,0.0,,0.15,81.24,0.0,0.0
2014-04-09,0.0,0.0,0.0,,0.11,81.13,0.0,0.0
2014-04-10,0.0,0.0,0.0,,0.11,81.24,0.0,0.0
2014-04-11,0.0,0.0,0.0,,0.11,81.13,0.0,0.0
2014-04-14,0.0,0.0,0.0,,0.1,81.23,0.0,0.0
2014-04-15,0.0,0.0,0.0,,0.06,81.29,0.0,0.0
2014-04-16,0.0,0.0,0.0,,0.19,81.48,0.0,0.0
2014-04-17,0.0,0.0,0.0,,0.07,81.55,0.0,0.0
2014-04-21,0.0,0.0,0.0,,0.39,81.94,0.0,0.0
2014-04-22,0.0,0.0,0.0,,0.32,82.26,0.0,0.0
2014-04-23,0.0,0.0,0.0,,0.02,82.24,0.0,0.0
2014-04-24,0.0,0.0,0.0,,0.27,81.97,0.0,0.0
2014-04-25,0.0,0.0,0.0,,0.16,81.81,0.0,0.0
2014-04-28,0.0,0.0,0.0,,0.04,81.85,0.0,0.0
2014-04-29,0.0,0.0,0.0,,0.07,81.78,0.0,0.0
2014-04-30,0.0,0.0,0.0,,0.16,81.62,0.0,0.0
2014-05-01,0.0,0.0,0.0,,0.07,81.55,0.0,0.0
2014-05-02,0.0,0.0,0.0,,0.13,81.42,0.0,0.0
2014-05-05,0.0,0.0,0.0,,,81.42,0.0,0.0
2014-05-06,0.0,0.0,0.0,,0.1,81.32,0.0,0.0
2014-05-07,0.0,0.0,0.0,,0.5,81.82,0.0,0.0
2014-05-08,0.0,0.0,0.0,,0.07,81.75,0.0,0.0
2014-05-09,0.0,0.0,0.0,,0.22,81.53,0.0,0.0
2014-05-12,0.0,0.0,0.0,,0.12,81.65,0.0,0.0
2014-05-13,0.0,0.0,0.0,,0.24,81.89,0.0,0.0
2014-05-14,0.0,0.0,0.0,,0.04,81.85,0.0,0.0
2014-05-15,0.0,0.0,0.0,,0.14,81.99,0.0,0.0
2014-05-16,0.0,0.0,0.0,,0.29,82.28,0.0,0.0
2014-05-19,0.0,0.0,0.0,,0.06,82.22,0.0,0.0
2014-05-20,0.0,0.0,0.0,,0.29,82.51,0.0,0.0
2014-05-21,0.0,0.0,0.0,,0.06,82.57,0.0,0.0
2014-05-22,0.0,0.0,0.0,,0.28,82.85,0.0,0.0
2014-05-23,0.0,0.0,0.0,,0.26,83.11,0.0,0.0
2014-05-27,0.0,0.0,0.0,,0.01,83.1,0.0,0.0
2014-05-28,0.0,0.0,0.0,,0.43,83.53,0.0,0.0
2014-05-29,0.0,0.0,0.0,,0.16,83.37,0.0,0.0
2014-05-30,0.0,0.0,0.0,,0.22,83.59,0.0,0.0
2014-06-02,0.0,0.0,0.0,,0.2,83.79,0.0,0.0
2014-06-03,0.0,0.0,0.0,,0.14,83.93,0.0,0.0
2014-06-04,0.0,0.0,0.0,,0.13,83.8,0.0,0.0
2014-06-05,0.0,0.0,0.0,,0.59,84.39,0.0,0.0
2014-06-06,0.0,0.0,0.0,,0.02,84.41,0.0,0.0
2014-06-09,0.0,0.0,0.0,,0.24,84.65,0.0,0.0
2014-06-10,0.0,0.0,0.0,,0.13,84.78,0.0,0.0
2014-06-11,0.0,0.0,0.0,,0.23,85.01,0.0,0.0
2014-06-12,0.0,0.0,0.0,,0.05,84.96,0.0,0.0
2014-06-13,0.0,0.0,0.0,,0.2,85.16,0.0,0.0
2014-06-16,0.0,0.0,0.0,,0.71,85.87,0.0,0.0
2014-06-17,0.0,0.0,0.0,,0.59,86.46,0.0,0.0
2014-06-18,0.0,0.0,0.0,,0.31,86.77,0.0,0.0
2014-06-19,0.0,0.0,0.0,,0.46,87.23,0.0,0.0
2014-06-20,0.0,0.0,0.0,,0.1,87.13,0.0,0.0
2014-06-23,0.0,0.0,0.0,,0.3,87.43,0.0,0.0
2014-06-24,0.0,0.0,0.0,,,87.43,0.0,0.0
2014-06-25,0.0,0.0,0.0,,0.57,88.0,0.0,0.0
2014-06-26,0.0,0.0,0.0,,0.21,87.79,0.0,0.0
2014-06-27,0.0,0.0,0.0,,0.19,87.98,0.0,0.0
2014-06-30,0.0,0.0,0.0,,0.1,88.08,0.0,0.0
2014-07-01,0.0,0.0,0.0,,0.82,88.9,0.0,0.0
2014-07-02,0.0,0.0,0.0,,0.02,88.92,0.0,0.0
2014-07-03,0.0,0.0,0.0,,0.18,89.1,0.0,0.0
2014-07-07,0.0,0.0,0.0,,0.35,89.45,0.0,0.0
2014-07-08,0.0,0.0,0.0,,0.37,89.08,0.0,0.0
2014-07-09,0.0,0.0,0.0,,0.13,88.95,0.0,0.0
2014-07-10,0.0,0.0,0.0,,0.39,88.56,0.0,0.0
